source_record_id,name,gpu_chip,release_date,bus_interface,memory_gb,memory_type,gpu_clock_mhz,memory_clock_mhz,shader_count,tmu_count,rop_count,has_structured_specs,memory_raw,gpu_clock_raw,memory_clock_raw,shader_counts_raw,release_raw,source_dataset
14b99753b62d21bee6aa,Mobility Radeon 9000,M9,2002-09-01,AGP 4x,0.0625,,240.0,200.0,,,,True,"64 MB, DDR, 64 bit",240 MHz,200 MHz,4 / 1 / 4 / 4,"Sep 1st, 2002",baraazaid/cpu-and-gpu-stats
020e26f1cb5daea7cd52,Mobility Radeon 9000,M9,2002-09-01,AGP 4x,0.03125,,240.0,200.0,,,,True,"32 MB, DDR, 64 bit",240 MHz,200 MHz,4 / 1 / 4 / 4,"Sep 1st, 2002",baraazaid/cpu-and-gpu-stats
d1cebae948293abc868e,Mobility Radeon 9000 IGP,RC300,2003-05-01,AGP 4x,,,300.0,,,,,True,System Shared,300 MHz,System Shared,2 / 1 / 2 / 2,"May 1st, 2003",baraazaid/cpu-and-gpu-stats
1b65d3aa8e565ab940c5,Mobility Radeon 9000 IGP,RS350,2003-05-01,AGP 4x,,,222.0,,,,,True,System Shared,222 MHz,System Shared,2 / 0 / 2 / 2,"May 1st, 2003",baraazaid/cpu-and-gpu-stats
3b0483849fd14599f9c9,Mobility Radeon 9000 IGP,RS300,2003-05-01,AGP 8x,,,300.0,,,,,True,System Shared,300 MHz,System Shared,2 / 1 / 2 / 2,"May 1st, 2003",baraazaid/cpu-and-gpu-stats
59772311a38d1e11c9d3,Mobility Radeon 9100 IGP,RS300,2003-06-23,AGP 4x,,,300.0,,,,,True,System Shared,300 MHz,System Shared,2 / 1 / 2 / 2,"Jun 23rd, 2003",baraazaid/cpu-and-gpu-stats
dc6355966ac28f380593,Mobility Radeon 9100 PRO IGP,RS350,2003-06-23,AGP 4x,,,300.0,,,,,True,System Shared,300 MHz,System Shared,2 / 0 / 2 / 2,"Jun 23rd, 2003",baraazaid/cpu-and-gpu-stats
107c917dd1e561dccf7f,Mobility Radeon 9200,M9,2003-03-01,AGP 4x,0.03125,,250.0,200.0,,,,True,"32 MB, DDR, 64 bit",250 MHz,200 MHz,4 / 1 / 4 / 4,"Mar 1st, 2003",baraazaid/cpu-and-gpu-stats
383d8bdbefab797de9ad,Mobility Radeon 9500,M10,2004-06-01,AGP 4x,0.125,,230.0,190.0,,,,True,"128 MB, DDR, 64 bit",230 MHz,190 MHz,4 / 2 / 4 / 4,"Jun 1st, 2004",baraazaid/cpu-and-gpu-stats
fc9248c0aca1791f8009,Mobility Radeon 9550,M12,2004-06-01,AGP 4x,0.0625,,250.0,243.0,,,,True,"64 MB, DDR, 64 bit",250 MHz,243 MHz,4 / 2 / 4 / 4,"Jun 1st, 2004",baraazaid/cpu-and-gpu-stats
83c3660da6316df72265,Mobility Radeon 9600,M10,2004-06-01,AGP 8x,0.125,,300.0,200.0,,,,True,"128 MB, DDR, 64 bit",300 MHz,200 MHz,4 / 2 / 4 / 4,"Jun 1st, 2004",baraazaid/cpu-and-gpu-stats
87d18aedb95b587274d4,Mobility Radeon 9600 PRO,M10,2004-06-01,AGP 8x,0.125,,333.0,200.0,,,,True,"128 MB, DDR, 128 bit",333 MHz,200 MHz,4 / 2 / 4 / 4,"Jun 1st, 2004",baraazaid/cpu-and-gpu-stats
57989b3791acfac5e8fd,Mobility Radeon 9600 PRO Turbo,M10,2004-02-13,AGP 8x,0.125,,337.0,243.0,,,,True,"128 MB, DDR, 128 bit",337 MHz,243 MHz,4 / 2 / 4 / 4,"Feb 13th, 2004",baraazaid/cpu-and-gpu-stats
b1a5d36411c31484518e,Mobility Radeon 9700,M11,2004-06-01,AGP 8x,0.0625,,450.0,275.0,,,,True,"64 MB, DDR, 128 bit",450 MHz,275 MHz,4 / 2 / 4 / 4,"Jun 1st, 2004",baraazaid/cpu-and-gpu-stats
7d4e13d835f65a3f3688,Mobility Radeon 9700 SE,M10,2004-06-01,AGP 4x,0.125,,250.0,200.0,,,,True,"128 MB, DDR, 64 bit",250 MHz,200 MHz,4 / 2 / 4 / 4,"Jun 1st, 2004",baraazaid/cpu-and-gpu-stats
2140daf8a5be21960fdc,Mobility Radeon 9800,M18,2004-07-01,AGP 8x,0.25,,350.0,300.0,,,,True,"256 MB, DDR, 256 bit",350 MHz,300 MHz,8 / 4 / 8 / 8,"Jul 1st, 2004",baraazaid/cpu-and-gpu-stats
0a2f4121ff3d38e55a6c,Mobility Radeon HD 2300,M71,2007-03-01,PCIe 1.0 x16,0.125,DDR2,480.0,400.0,,,,True,"128 MB, DDR2, 128 bit",480 MHz,400 MHz,4 / 2 / 4 / 4,"Mar 1st, 2007",baraazaid/cpu-and-gpu-stats
5d32c7c44539c28af3bf,Mobility Radeon HD 2400,M72,2007-05-14,PCIe 1.0 x16,0.25,DDR2,450.0,400.0,40,4,4,True,"256 MB, DDR2, 64 bit",450 MHz,400 MHz,40 / 4 / 4,"May 14th, 2007",baraazaid/cpu-and-gpu-stats
a7be2bd7fa282e192064,Mobility Radeon HD 2400 XT,M74,2007-05-14,PCIe 1.0 x16,0.25,DDR2,600.0,400.0,40,4,4,True,"256 MB, DDR2, 64 bit",600 MHz,400 MHz,40 / 4 / 4,"May 14th, 2007",baraazaid/cpu-and-gpu-stats
29c6006539eb9c4e42ed,Mobility Radeon HD 2400 XT Mac Edition,M74,2007-06-28,PCIe 1.0 x16,0.125,GDDR3,650.0,800.0,40,4,4,True,"128 MB, GDDR3, 64 bit",650 MHz,800 MHz,40 / 4 / 4,"Jun 28th, 2007",baraazaid/cpu-and-gpu-stats
f2d8d5ea75580bdb4fb2,Mobility Radeon HD 2600,M76,2007-05-14,MXM-II,0.25,DDR2,500.0,400.0,120,8,4,True,"256 MB, DDR2, 128 bit",500 MHz,400 MHz,120 / 8 / 4,"May 14th, 2007",baraazaid/cpu-and-gpu-stats
657994adc0e30757caa9,Mobility Radeon HD 2600 XT,M76,2007-05-14,MXM-II,0.25,GDDR3,680.0,750.0,120,8,4,True,"256 MB, GDDR3, 128 bit",680 MHz,750 MHz,120 / 8 / 4,"May 14th, 2007",baraazaid/cpu-and-gpu-stats
b65cffac07d8c1beefe2,Mobility Radeon HD 2600 XT Mac Edition,M76,2007-07-26,MXM-II,0.25,GDDR3,600.0,685.0,120,8,4,True,"256 MB, GDDR3, 128 bit",600 MHz,685 MHz,120 / 8 / 4,"Jul 26th, 2007",baraazaid/cpu-and-gpu-stats
3c760742c39003dd162d,Mobility Radeon HD 2700,M76,2007-12-12,MXM-II,0.25,GDDR3,700.0,700.0,120,8,4,True,"256 MB, GDDR3, 128 bit",700 MHz,700 MHz,120 / 8 / 4,"Dec 12th, 2007",baraazaid/cpu-and-gpu-stats
9cb4ce502246c33a39b0,Mobility Radeon HD 3410,M82,2008-07-25,MXM-II,0.25,DDR2,400.0,400.0,40,4,4,True,"256 MB, DDR2, 64 bit",400 MHz,400 MHz,40 / 4 / 4,"Jul 25th, 2008",baraazaid/cpu-and-gpu-stats
503bb250be25926a74d9,Mobility Radeon HD 3430,M82,2008-07-25,MXM-II,0.25,DDR2,450.0,400.0,40,4,4,True,"256 MB, DDR2, 64 bit",450 MHz,400 MHz,40 / 4 / 4,"Jul 25th, 2008",baraazaid/cpu-and-gpu-stats
3ce78220cf4c1af95c5e,Mobility Radeon HD 3450,M82,2008-01-07,MXM-II,0.25,DDR2,500.0,400.0,40,4,4,True,"256 MB, DDR2, 64 bit",500 MHz,400 MHz,40 / 4 / 4,"Jan 7th, 2008",baraazaid/cpu-and-gpu-stats
553c42bf2f0ad05bcbbd,Mobility Radeon HD 3850,M88,2008-06-04,PCIe 2.0 x16,0.5,GDDR3,580.0,750.0,320,16,16,True,"512 MB, GDDR3, 256 bit",580 MHz,750 MHz,320 / 16 / 16,"Jun 4th, 2008",baraazaid/cpu-and-gpu-stats
7543f83225ff50cbbab9,Mobility Radeon HD 3850 X2,M88,2008-06-04,PCIe 2.0 x16,0.5,GDDR3,580.0,750.0,320,16,16,True,"512 MB, GDDR3, 256 bit",580 MHz,750 MHz,320 / 16 / 16,"Jun 4th, 2008",baraazaid/cpu-and-gpu-stats
c9535f4cee3404912ae3,Mobility Radeon HD 3870,M88,2008-06-04,PCIe 2.0 x16,0.5,GDDR3,660.0,850.0,320,16,16,True,"512 MB, GDDR3, 256 bit",660 MHz,850 MHz,320 / 16 / 16,"Jun 4th, 2008",baraazaid/cpu-and-gpu-stats
7f247330aecbcdfd5a5f,Mobility Radeon HD 3870 X2,M88,2008-09-01,PCIe 2.0 x16,0.5,GDDR3,660.0,850.0,320,16,16,True,"512 MB, GDDR3, 256 bit",660 MHz,850 MHz,320 / 16 / 16,"Sep 1st, 2008",baraazaid/cpu-and-gpu-stats
8c45f0d0e9855f676ea3,Mobility Radeon HD 530v,M92,2010-05-05,MXM-A (3.0),0.5,GDDR3,500.0,600.0,80,8,4,True,"512 MB, GDDR3, 64 bit",500 MHz,600 MHz,80 / 8 / 4,"May 5th, 2010",baraazaid/cpu-and-gpu-stats
359e34485d8bda46fa51,Mobility Radeon HD 540v,M92,2010-05-05,MXM-A (3.0),0.5,GDDR3,500.0,700.0,80,8,4,True,"512 MB, GDDR3, 64 bit",500 MHz,700 MHz,80 / 8 / 4,"May 5th, 2010",baraazaid/cpu-and-gpu-stats
26f21c50de883aa97d23,Mobility Radeon HD 540v,M92,2010-05-05,MXM-A (3.0),0.5,GDDR3,550.0,800.0,80,8,4,True,"512 MB, GDDR3, 64 bit",550 MHz,800 MHz,80 / 8 / 4,"May 5th, 2010",baraazaid/cpu-and-gpu-stats
f015a3fca5f2a4679f27,Mobility Radeon HD 545v,M92,2010-05-05,MXM-A (3.0),0.5,GDDR3,720.0,800.0,80,8,4,True,"512 MB, GDDR3, 64 bit",720 MHz,800 MHz,80 / 8 / 4,"May 5th, 2010",baraazaid/cpu-and-gpu-stats
160a97153f44a5027096,Mobility Radeon HD 550v,M96,2010-05-05,PCIe 2.0 x16,1.0,GDDR3,450.0,600.0,320,32,8,True,"1024 MB, GDDR3, 128 bit",450 MHz,600 MHz,320 / 32 / 8,"May 5th, 2010",baraazaid/cpu-and-gpu-stats
526eefe588de54860cbe,Mobility Radeon HD 5570,Pinewood,2012-11-23,PCIe 2.0 x16,1.0,GDDR3,550.0,800.0,400,20,8,True,"1024 MB, GDDR3, 128 bit",550 MHz,800 MHz,400 / 20 / 8,"Nov 23rd, 2012",baraazaid/cpu-and-gpu-stats
a1458d75456c2c5cc3ab,Mobility Radeon HD 560v,M96,2010-05-05,PCIe 2.0 x16,1.0,GDDR3,550.0,700.0,320,32,8,True,"1024 MB, GDDR3, 128 bit",550 MHz,700 MHz,320 / 32 / 8,"May 5th, 2010",baraazaid/cpu-and-gpu-stats
3ad95b642af9164e664c,Mobility Radeon HD 565v,M96,2010-05-05,PCIe 2.0 x16,1.0,GDDR3,675.0,800.0,320,32,8,True,"1024 MB, GDDR3, 128 bit",675 MHz,800 MHz,320 / 32 / 8,"May 5th, 2010",baraazaid/cpu-and-gpu-stats
623bd160551ee79fbf03,Mobility Radeon HD 5670 Mac Edition,Madison,2010-04-22,PCIe 2.0 x16,0.5,GDDR3,650.0,795.0,400,20,8,True,"512 MB, GDDR3, 128 bit",650 MHz,795 MHz,400 / 20 / 8,"Apr 22nd, 2010",baraazaid/cpu-and-gpu-stats
6e4dd9fc37f78d84b079,Mobility Radeon X1300,M52,2006-01-19,PCIe 1.0 x16,0.125,DDR2,350.0,250.0,,,,True,"128 MB, DDR2, 128 bit",350 MHz,250 MHz,4 / 2 / 4 / 4,"Jan 19th, 2006",baraazaid/cpu-and-gpu-stats
3ab4e9558cb4c93158a0,Mobility Radeon X1350,M62,2006-09-18,PCIe 1.0 x16,0.125,DDR2,419.0,392.0,,,,True,"128 MB, DDR2, 64 bit",419 MHz,392 MHz,4 / 2 / 4 / 4,"Sep 18th, 2006",baraazaid/cpu-and-gpu-stats
d747dfadfc8ffb5affae,Mobility Radeon X1350,M62,2006-09-18,PCIe 1.0 x16,0.125,DDR2,371.0,324.0,,,,True,"128 MB, DDR2, 64 bit",371 MHz,324 MHz,4 / 2 / 4 / 4,"Sep 18th, 2006",baraazaid/cpu-and-gpu-stats
79ec829dc4bc25848989,Mobility Radeon X1400,M54,2006-01-19,PCIe 1.0 x16,0.125,DDR2,445.0,250.0,,,,True,"128 MB, DDR2, 128 bit",445 MHz,250 MHz,4 / 2 / 4 / 4,"Jan 19th, 2006",baraazaid/cpu-and-gpu-stats
a18ab4228bb0c6c6a708,Mobility Radeon X1450,M64,2006-09-18,PCIe 1.0 x16,0.125,DDR2,550.0,450.0,,,,True,"128 MB, DDR2, 128 bit",550 MHz,450 MHz,4 / 2 / 4 / 4,"Sep 18th, 2006",baraazaid/cpu-and-gpu-stats
b5ad337e1d740ed469e3,Mobility Radeon X1600,M56,2006-02-01,PCIe 1.0 x16,0.25,GDDR3,450.0,470.0,,,,True,"256 MB, GDDR3, 128 bit",450 MHz,470 MHz,12 / 5 / 4 / 4,"Feb 1st, 2006",baraazaid/cpu-and-gpu-stats
236f3c1aecf76c0730f0,Mobility Radeon X1600 Mac Edition,M56,2007-11-08,PCIe 1.0 x16,0.125,GDDR3,398.0,396.0,,,,True,"128 MB, GDDR3, 128 bit",398 MHz,396 MHz,12 / 5 / 4 / 4,"Nov 8th, 2007",baraazaid/cpu-and-gpu-stats
