source_record_id,name,codename,core_count,thread_count,base_clock_ghz,boost_clock_ghz,socket,process_nm,l3_cache_mb,tdp_w,release_date,has_structured_specs,cores_raw,clock_raw,socket_raw,process_raw,l3_cache_raw,tdp_raw,release_raw,source_dataset
72a23635d6e7d06a61b8,Sempron 2400+,Thoroughbred,1,,1.667,1.667,A,130.0,,62.0,2004-07-28,True,1,1667 MHz,Socket A,130 nm,,62 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
81568516bcc14f46717a,Sempron 2400+,Thorton,1,,1.667,1.667,A,130.0,,62.0,2004-08-01,True,1,1667 MHz,Socket A,130 nm,,62 W,"Aug 1st, 2004",baraazaid/cpu-and-gpu-stats
ed9afb76c7191f6f0f5b,Sempron 2500+,Barton,1,,1.75,1.75,A,130.0,,62.0,2001-01-01,True,1,1750 MHz,Socket A,130 nm,,62 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
59252e567c1219532256,Sempron 2500+,Thoroughbred,1,,1.75,1.75,A,130.0,,62.0,2004-07-28,True,1,1750 MHz,Socket A,130 nm,,62 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
d486dd2052c96909a6bd,Sempron 2500+,Palermo,1,,1.4000000000000001,1.4000000000000001,754,90.0,,62.0,2005-07-07,True,1,1400 MHz,Socket 754,90 nm,,62 W,"Jul 7th, 2005",baraazaid/cpu-and-gpu-stats
bb3a24a1d8adaa183f5e,Sempron 2600+,Barton,1,,1.833,1.833,A,130.0,,62.0,2001-01-01,True,1,1833 MHz,Socket A,130 nm,,62 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
426e9b08461346cd26e7,Sempron 2600+,Paris,1,,1.6,1.6,754,130.0,,25.0,2001-01-01,True,1,1600 MHz,Socket 754,130 nm,,25 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
2dcb61e29fe7507dde6d,Sempron 2600+,Thoroughbred,1,,1.833,1.833,A,130.0,,62.0,2004-07-28,True,1,1833 MHz,Socket A,130 nm,,62 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
6fbfa052b417c9bcb668,Sempron 2600+,Sonora,1,,1.6,1.6,754,90.0,,25.0,2004-07-28,True,1,1600 MHz,Socket 754,90 nm,,25 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
6353228094a0bc53e3f9,Sempron 2600+,Georgetown,1,,1.6,1.6,754,90.0,,62.0,2004-07-28,True,1,1600 MHz,Socket 754,90 nm,,62 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
