source_record_id,category,name,reference_price_inr,source_currency,category_keyword_match,manual_review_required,eligible_for_compatibility,reference_price_only,source_file,source_dataset
2796911e289c9ca572e0,case,FINGERS RGB-Admiral Full ATX Cabinet,3245.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
59d7eed0be6be969c05e,case,Fingers RGB BRUNO SG FASHION PC TOWER LED Cabinet,3245.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
5acd80a3bc80fc5646f3,case,Fingers RGB-Flow C2 MID TOWER Cabinet,2645.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
9cd03582711bcba71bbe,case,FINGERS RGB-WildBox Full ATX Cabinet,2999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
e87bea61f2e200c458f4,case,FINGERS SpotLight Micro ATX Cabinet,2645.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
8db04cbff4afb7089a6e,case,"Foxin 3S-SHADE Desktop Computer Case-Steel Body,2xUSB2.0,HD Audio,MIC Jack,8cmx12cmFan COMPUTER CASE Cabinet",1699.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
0d09063139e925fc8cc1,case,"Foxin Race Desktop Computer Case,Tower/PC Cabinet with Steel Metal Body | All ATX Motherboard Compatible Cabinet",1099.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
d2c0ed16e125daf713ad,case,"Foxin SPARK Desktop Computer Case - Steel Body, 2 x USB 2.0, HD Audio, MIC Jack COMPUTER CASE Cabinet",2099.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
b0e6769d238bcda2f8a3,case,GALAX PC Case (REV-05W) Revolution 05 White mid tower Cabinet,4999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
0fb9ea547bb5cd3f8b8e,case,GALAX (Rev-01W) Mid Tower Gaming Case with 4 ARGB Fans (White) - CG01AGWA4A0 Mid Tower Gaming Case Cabinet,4999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
5258fb6f66f1969d6d73,case,GALAX Revolution - 01 Mid Tower Gaming Case with 4 ARGB Fans Mid Tower Cabinet,4799.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
e0597c290b18ef20377a,case,GALAX Revolution-05 Mid Tower Gaming Case with 4 ARGB Fans Mid Tower Cabinet,4049.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
f7bd4856abb260884ca6,case,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,1000.0,INR,False,True,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
1c6a37315ad34a3c0e64,case,"Jivaa Infotech Laptop Bottom Base Cover for Lenov'o IDEAPAD G50-70, G50-30, G50-45, G50-80 Z50-80 Z50-70 Z50-45 Z50-30Latpop Bottom Case, Base Cover Black Color Full Tower Cabinet",747.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
bc8369a9a6a555a8004b,case,Jivaa Infotech Laptop Bottom Base for Le'novo Idea'pad 310-15 310-15ISK 310-15ABR 310-15ikb 310-15iap 510-15ikb Base Lower Bottom Case AP10T000C00 for Le'novo Idea'Pad Full Tower Cabinet,1499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
d3c1001a724a14f00815,case,Jivaa Infotech Laptop Screen Complete Panel for compaq cq40 cq41 cq45 Panel with Hinge p/n 487284-001 FULL TOWER Cabinet,1693.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
4c580501c1098a9d04ce,case,Jyothi Rgb cabinet for pc Rgb lighting Cabinet,2000.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
ce36772bb4685d6329a8,case,KTOSTON Pad Arm-Stand Desk - Arm Support Bracket Pallet Rack - Multicolor – Set of 1 Arm Rest Pad Cabinet,469.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
27c9c1cbd7b543dc2bbe,case,Lian Li 011Dynamic EVO Grey Mid Tower Cabinet,16599.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
ee84864bd626ff56a787,case,Lian Li Lancool 215 Mid tower Cabinet,7771.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
b36e8d219ef940d5d3d2,case,Lian Li Lancool II Mesh - Type C Mid- Tower Cabinet,9929.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
bf0021e614ea23fd7664,case,Lian Li PC-O11 Dynamic Mini Air Mini Tower Cabinet,11368.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
b606746dbdf63bb78ca0,case,Lian Li PC-O11 Dynamic Mini Air Mini Tower Cabinet,12088.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
cb5579906414fc3f0f72,case,Lian Li PC-O11 Dynamic Mini Mini Tower Cabinet,10865.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
35721a2b1562848747e4,case,Lian Li PC-O11 Dynamic Razer Edition Mid Tower ATX Cabinet,17124.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
c8d1a7703ff1ca26f595,case,Maizic Smarthome CCTV/DVR/NVR Cabinet Box/DVR Foldable Rack DVR/NVR/Serverbox Cabinet,1199.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
89632c7798aaedd6dca4,case,Matrix MTXCC006 MINI TOWER Cabinet,1798.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
2fc98f60f557e2eaf5fa,case,Matrix MTXCC009 MINI TOWER Cabinet,1798.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
78d0d1c8ac116d7a8766,case,MOODY 928 Women Lady Self Defense Tactical Stun Gun with Flashlight Stun Gun Cabinet,1999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
235f755a89af00ee8ead,case,MOODY Stun Gun High Voltage Electric Shock Tool. Women Safety/ Anti-Rape Device Stun Gun Cabinet,1263.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
0a750e0dec748bce9863,case,MOODY Travel Safety – Electric Gadget Stun Gun With LED Light Stun Gun Cabinet,1999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
b09614cbb0d01b6d1b50,case,MPL C001 0 Cabinet,2099.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
251e068801659425aa5e,case,MSI MAG FORGE 110R Mid Tower Cabinet,3839.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
5bd635d87c2477d14b5b,case,MSI MAG FORGE 111R Mid Tower Cabinet,4799.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
8c2f2eee41a4d9e8981e,case,MSI MAG FORGE 112R Mid Tower Cabinet,5699.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
d369ade2adb8927ad4ab,case,MSI MAG VAMPIRIC 300R Blue Mid Tower Cabinet,7949.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
681623af7c89934337d1,case,MSI MAG VAMPIRIC 300R Green Mid Tower Cabinet,7949.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
ba5a524235974beb969f,case,MSI MAG VAMPIRIC 300R Mid Tower Cabinet,7549.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
db2373b0fec936e7829a,case,MSI MPG SEKIRA 100R Mid Tower Cabinet,9499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
8f1b87c35c4a94f9e0e6,case,NIHAKA 3 Inch Dc Fan high Speed 12V PC Cooling Fan (Pack of 1) All in one Cabinet,197.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
de3e8c6db668913b4acb,case,Nissi AMD CPU COOLER cabinets Cabinet,899.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
5fc2e8142d15fad6a66f,case,nwwcc SU1U400A1G231 computer cabinet Cabinet,3350.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
f13cad5cc32d6353e603,case,Phanteks Enthoo Pro 2 Closed Full- Tower Cabinet,15973.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
d1d4ce7111fed707f761,case,Phanteks P400 Air Mid- Tower Cabinet,9210.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
99a03be3abbb9848a8f8,case,Phanteks P400 Air Mid- Tower Cabinet,9570.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
2e07d3f44fab13ae40cf,case,Phanteks P500 Air Mid- Tower Cabinet,13999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
c1b582a5db73068267f0,case,Phanteks P500 Air Mid- Tower Cabinet,15973.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
68aa7abc1fdf0eb20eb8,case,PMW SU1U400A1G222 computer cabinet Cabinet,2999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
e0836d03b893f98eb046,case,PMW SU1U400A1G226 computer cabinet Cabinet,3300.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
ff7ace4f380375777766,case,PMW SU1U400A1G228 computer cabinet Cabinet,2849.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
13f862aadf3bb761899d,case,PMW SU1U400A1G229 computer cabinet Cabinet,3050.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
6c257ea15040affcc07a,case,PMW SU1U400A1G231 computer cabinet Cabinet,2599.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
abd755a47332ca85d8f1,case,PMW SU1U400A1G232 computer cabinet Cabinet,3199.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
ff16a86255592d87e028,case,PMW SU1U400A1G233 computer cabinet Cabinet,3600.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
2b406f8bafb4a74c7d69,case,PMW SU1U400A1G234 computer cabinet Cabinet,3499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
9821a879306b0bd7b299,case,Point Zero 928 Rechargeable Self Defense Flashlight Stun Gun with Electric Shock Stun Gun Cabinet,1950.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
1ed60ec1a05c6f63e8f1,case,Point Zero electric shock stun gun stun guns protection Stun Gun Cabinet,1849.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
7a951daeea4c7114a4fc,case,Point Zero High Voltage Electric Shock Tool. Women Safety/ Anti-Rape Device. Rechargeable Stun Gun Cabinet,1199.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
971358ccdbc5aef62d48,case,Point Zero Rechargeable electric shock flashlight self-defense Stun Gun Cabinet,1855.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
b5bd6d447cbc86cb8ce5,case,Point Zero Self Defense Rechargeable Stun Gun Personal Security Stun Gun Cabinet,1700.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
2477fec716c577e15639,case,Qaz Led Flashlight Torch With Shock For Women's And Girls Safety Stun Gun Cabinet,1980.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
a3bf79845f3f53e32c29,case,Qaz New Professional Self Defence Stun Gun Pocket 800 Type Stun Gun Cabinet,1950.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
cbefc9c838a63760857f,case,Qaz Rechargeable LED Flashlight Heavy Duty Stun Gear Self Defensive Flashlight Stun Gun Cabinet,1965.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
6812a9d037a2978d6d18,case,Qaz Stun Gun + LED Flashlight 2 in 1 Electric Shock Safty And Security Gadgets Stun Gun Cabinet,1355.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
82136cf81a23fc708ce8,case,"Rubaintech Compatible For Dell Inspiron 15 5570, 2DVTX, 02DVTX, CN-02DVTX Laptop Bottom Base Lower Case D Cover Enclosure Panel Chassis Housing [WITHOUT OPTICAL DRIVE] Cabinet",3199.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
0a7910869bbe840ec655,case,"Rubaintech Compatible For Dell Inspiron 15R (N5110), 15R-N5110, N5110, M5110, 005T5, 0005T5 4PVH5, 04PVH5 Laptop Bottom Base Lower Case D Cover Panel Housing Body Part Cabinet",1199.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
eb14c4654a6180a07565,case,"Rubaintech Compatible For Dell Inspiron 5480, 5485, 5488, 0R4XHN, 439.04705, 439.0F706, 439.0F709, 439.0F70E, 460.0F703.0001, 460.0F703.0003 Laptop Bottom Base Cover Cabinet",2999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
4bc1024348f54cc6c570,case,"Rubaintech Compatible For Dell Inspiron 5580, 5585, 5588, 0T5PWN, 460.0F804.0002, 439.0F80B 439.0F802, T5PWN Laptop Bottom Base Lower Case D Cover Panel Housing Body Part Cabinet",1999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
82bff049afa79ce081a2,case,"Rubaintech Compatible For Dell Latitude 7480, 7490, E7480, E7490, 0F4GHK, 0HR70F, 0JW2CD, AM1S1000E02, EA1S1000500, HR70F, JW2CD Laptop Bottom Base Lower Case D Cover Cabinet",2499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
11bb40e84caf893f04b0,case,"Rubaintech Compatible For Hp 15-G000NT, 15-G000NX, 15-G000SC, 15-G000SE Laptop ABH Top Back Lid LCD Cover Rear Case Panel Front Bezel Hinges Cabinet",1499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
1afb0f8bcd59678bfbda,case,"Rubaintech Compatible For Hp 15-G000SI, 15-G000SL, 15-G000SM, 15-G000SQ Laptop ABH Top Back Lid LCD Cover Rear Case Panel Front Bezel Hinges Cabinet",1499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
0f2734fd7e7e153c4c73,case,"Rubaintech Compatible For Hp 15-G001AU, 15-G001AX, 15-G001EC, 15-G001NC Laptop ABH Top Back Lid LCD Cover Rear Case Panel Front Bezel Hinges Cabinet",1499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
dcefa99618da84089448,case,"Rubaintech Compatible For Hp 15-G001NF, 15-G001NIA, 15-G001NO, 15-G001NP Laptop ABH Top Back Lid LCD Cover Rear Case Panel Front Bezel Hinges Cabinet",1499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
6acf632a8aa5e132c3db,case,"Rubaintech Compatible For Hp 15-G002AU, 15-G002AX, 15-G002NC, 15-G002NF Laptop ABH Top Back Lid LCD Cover Rear Case Panel Front Bezel Hinges Cabinet",1499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
4e930e45d1a0742032cc,case,"Rubaintech Compatible For Hp 15-G002NT, 15-G002SE, 15-G002SP, 15-G002SR Laptop ABH Top Back Lid LCD Cover Rear Case Panel Front Bezel Hinges Cabinet",1499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
3b507c3bc9df662890b6,case,"Rubaintech Compatible For Hp 15-G003AU, 15-G003AX, 15-G003NC, 15-G003NF Laptop ABH Top Back Lid LCD Cover Rear Case Panel Front Bezel Hinges Cabinet",1499.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
